layer,series,variant,rho_cfnai,p_cfnai,rho_vix,p_vix
min_statement_quote,ALL,"baseline per1k, T1",-0.163,0.1063,0.109,0.2834
min_statement_quote,ALL,"per1k, excl-2020",-0.205,0.0516,0.06,0.5719
min_statement_quote,ALL,"per1k, 2010–2026",-0.122,0.164,-0.084,0.3389
min_statement_quote,ALL,CFNAI lag 1,-0.106,0.2956,0.109,0.2834
min_statement_quote,ALL,VIX inter-meeting,-0.163,0.1063,0.121,0.2341
min_statement_quote,ALL,share (N2),,,,
min_statement_quote,ALL,count (N3),0.178,0.078,-0.173,0.0875
min_statement_quote,could,"baseline per1k, T1",-0.075,0.4634,0.36,0.0003
min_statement_quote,could,"per1k, excl-2020",-0.175,0.0978,0.444,0.0
min_statement_quote,could,"per1k, 2010–2026",-0.024,0.7853,0.198,0.0234
min_statement_quote,could,CFNAI lag 1,-0.08,0.4294,0.36,0.0003
min_statement_quote,could,VIX inter-meeting,-0.075,0.4634,0.351,0.0004
min_statement_quote,could,share (N2),-0.02,0.8439,0.404,0.0
min_statement_quote,could,count (N3),0.076,0.4546,0.365,0.0002
min_statement_quote,should,"baseline per1k, T1",-0.016,0.8749,-0.33,0.0008
min_statement_quote,should,"per1k, excl-2020",-0.026,0.8053,-0.306,0.0032
min_statement_quote,should,"per1k, 2010–2026",-0.063,0.4719,-0.352,0.0
min_statement_quote,should,CFNAI lag 1,0.028,0.7835,-0.33,0.0008
min_statement_quote,should,VIX inter-meeting,-0.016,0.8749,-0.329,0.0009
min_statement_quote,should,share (N2),-0.011,0.9133,-0.285,0.0043
min_statement_quote,should,count (N3),-0.014,0.8915,-0.305,0.0021
min_statement_quote,will,"baseline per1k, T1",-0.092,0.3634,-0.134,0.1876
min_statement_quote,will,"per1k, excl-2020",-0.09,0.3951,-0.322,0.0019
min_statement_quote,will,"per1k, 2010–2026",-0.084,0.3428,-0.224,0.0101
min_statement_quote,will,CFNAI lag 1,0.003,0.9736,-0.134,0.1876
min_statement_quote,will,VIX inter-meeting,-0.092,0.3634,-0.105,0.3029
min_statement_quote,will,share (N2),0.053,0.6001,-0.32,0.0012
min_statement_quote,will,count (N3),0.141,0.1634,-0.234,0.0195
min_statement_quote,would,"baseline per1k, T1",-0.03,0.7659,0.364,0.0002
min_statement_quote,would,"per1k, excl-2020",-0.115,0.2767,0.448,0.0
min_statement_quote,would,"per1k, 2010–2026",-0.017,0.8441,0.235,0.0069
min_statement_quote,would,CFNAI lag 1,-0.052,0.6094,0.364,0.0002
min_statement_quote,would,VIX inter-meeting,-0.03,0.7659,0.352,0.0004
min_statement_quote,would,share (N2),0.026,0.8013,0.406,0.0
min_statement_quote,would,count (N3),0.099,0.3307,0.396,0.0001
min_vote,ALL,"baseline per1k, T1",0.224,0.0255,-0.187,0.0644
min_vote,ALL,"per1k, excl-2020",0.228,0.0294,-0.213,0.0422
min_vote,ALL,"per1k, 2010–2026",0.12,0.1724,0.009,0.9152
min_vote,ALL,CFNAI lag 1,0.249,0.0128,-0.187,0.0644
min_vote,ALL,VIX inter-meeting,0.224,0.0255,-0.173,0.0867
min_vote,ALL,share (N2),,,,
min_vote,ALL,count (N3),0.092,0.3627,-0.1,0.3248
min_vote,could,"baseline per1k, T1",-0.081,0.4281,0.095,0.3486
min_vote,could,"per1k, excl-2020",-0.085,0.4233,0.078,0.4618
min_vote,could,"per1k, 2010–2026",0.024,0.7833,0.211,0.0158
min_vote,could,CFNAI lag 1,-0.06,0.5542,0.095,0.3486
min_vote,could,VIX inter-meeting,-0.081,0.4281,0.082,0.4178
min_vote,could,share (N2),-0.092,0.3789,0.1,0.3396
min_vote,could,count (N3),-0.078,0.4427,0.094,0.3556
min_vote,would,"baseline per1k, T1",0.208,0.0391,-0.104,0.3077
min_vote,would,"per1k, excl-2020",0.258,0.0134,-0.121,0.2543
min_vote,would,"per1k, 2010–2026",0.041,0.6415,0.041,0.646
min_vote,would,CFNAI lag 1,0.149,0.14,-0.104,0.3077
min_vote,would,VIX inter-meeting,0.208,0.0391,-0.096,0.3458
min_vote,would,share (N2),-0.045,0.6667,0.081,0.4385
min_vote,would,count (N3),0.093,0.3622,-0.092,0.3629
pc_chair,ALL,"baseline per1k, T1",0.216,0.0538,0.319,0.004
pc_chair,ALL,"per1k, excl-2020",0.258,0.0302,0.297,0.0118
pc_chair,ALL,"per1k, 2010–2026",0.142,0.1764,0.293,0.0047
pc_chair,ALL,CFNAI lag 1,0.141,0.2124,0.319,0.004
pc_chair,ALL,VIX inter-meeting,0.216,0.0538,0.336,0.0023
pc_chair,ALL,share (N2),,,,
pc_chair,ALL,count (N3),0.271,0.0151,0.397,0.0003
pc_chair,can,"baseline per1k, T1",0.068,0.548,0.422,0.0001
pc_chair,can,"per1k, excl-2020",0.134,0.265,0.323,0.006
pc_chair,can,"per1k, 2010–2026",0.037,0.727,0.405,0.0001
pc_chair,can,CFNAI lag 1,-0.021,0.8537,0.422,0.0001
pc_chair,can,VIX inter-meeting,0.068,0.548,0.416,0.0001
pc_chair,can,share (N2),-0.023,0.8393,0.281,0.0116
pc_chair,can,count (N3),0.158,0.1623,0.399,0.0002
pc_chair,could,"baseline per1k, T1",0.061,0.588,-0.287,0.01
pc_chair,could,"per1k, excl-2020",0.083,0.4906,-0.322,0.0062
pc_chair,could,"per1k, 2010–2026",0.041,0.7006,-0.318,0.002
pc_chair,could,CFNAI lag 1,0.084,0.4574,-0.287,0.01
pc_chair,could,VIX inter-meeting,0.061,0.588,-0.263,0.0186
pc_chair,could,share (N2),0.002,0.9831,-0.354,0.0013
pc_chair,could,count (N3),0.142,0.2088,-0.175,0.1199
pc_chair,may,"baseline per1k, T1",0.019,0.866,-0.024,0.8357
pc_chair,may,"per1k, excl-2020",-0.051,0.6744,-0.085,0.4816
pc_chair,may,"per1k, 2010–2026",0.032,0.7633,-0.049,0.6448
pc_chair,may,CFNAI lag 1,0.007,0.951,-0.024,0.8357
pc_chair,may,VIX inter-meeting,0.019,0.866,-0.041,0.7197
pc_chair,may,share (N2),-0.013,0.9103,-0.126,0.2639
pc_chair,may,count (N3),0.054,0.6324,0.04,0.7247
pc_chair,should,"baseline per1k, T1",0.173,0.1238,0.038,0.7404
pc_chair,should,"per1k, excl-2020",0.102,0.3976,-0.022,0.8542
pc_chair,should,"per1k, 2010–2026",0.135,0.1997,0.121,0.2491
pc_chair,should,CFNAI lag 1,0.144,0.2021,0.038,0.7404
pc_chair,should,VIX inter-meeting,0.173,0.1238,0.025,0.8241
pc_chair,should,share (N2),0.095,0.3998,-0.066,0.5584
pc_chair,should,count (N3),0.207,0.0658,0.084,0.4577
pc_chair,will,"baseline per1k, T1",0.124,0.2736,0.311,0.0049
pc_chair,will,"per1k, excl-2020",0.139,0.2466,0.313,0.0078
pc_chair,will,"per1k, 2010–2026",0.077,0.4679,0.248,0.017
pc_chair,will,CFNAI lag 1,0.106,0.3495,0.311,0.0049
pc_chair,will,VIX inter-meeting,0.124,0.2736,0.318,0.004
pc_chair,will,share (N2),0.029,0.7978,0.218,0.0515
pc_chair,will,count (N3),0.156,0.1673,0.41,0.0002
pc_chair,would,"baseline per1k, T1",0.2,0.0751,-0.099,0.3841
pc_chair,would,"per1k, excl-2020",0.142,0.238,-0.035,0.7738
pc_chair,would,"per1k, 2010–2026",0.17,0.1059,-0.04,0.7074
pc_chair,would,CFNAI lag 1,0.152,0.178,-0.099,0.3841
pc_chair,would,VIX inter-meeting,0.2,0.0751,-0.093,0.4136
pc_chair,would,share (N2),0.072,0.5279,-0.294,0.0081
pc_chair,would,count (N3),0.265,0.0175,0.013,0.9055
pc_journalist,ALL,"baseline per1k, T1",0.127,0.2607,-0.014,0.9001
pc_journalist,ALL,"per1k, excl-2020",0.089,0.4617,-0.035,0.7749
pc_journalist,ALL,"per1k, 2010–2026",0.094,0.3721,0.063,0.5524
pc_journalist,ALL,CFNAI lag 1,0.206,0.0672,-0.014,0.9001
pc_journalist,ALL,VIX inter-meeting,0.127,0.2607,-0.021,0.853
pc_journalist,ALL,share (N2),,,,
pc_journalist,ALL,count (N3),0.133,0.2378,-0.134,0.2351
pc_journalist,can,"baseline per1k, T1",-0.038,0.7408,0.131,0.2476
pc_journalist,can,"per1k, excl-2020",-0.074,0.5389,-0.045,0.7095
pc_journalist,can,"per1k, 2010–2026",-0.024,0.8184,0.139,0.1879
pc_journalist,can,CFNAI lag 1,-0.001,0.991,0.131,0.2476
pc_journalist,can,VIX inter-meeting,-0.038,0.7408,0.154,0.1724
pc_journalist,can,share (N2),-0.065,0.5679,0.147,0.1935
pc_journalist,can,count (N3),0.003,0.976,0.065,0.5661
pc_journalist,could,"baseline per1k, T1",0.004,0.9728,0.053,0.6395
pc_journalist,could,"per1k, excl-2020",-0.029,0.8126,0.027,0.826
pc_journalist,could,"per1k, 2010–2026",-0.012,0.9077,0.108,0.3055
pc_journalist,could,CFNAI lag 1,-0.087,0.4423,0.053,0.6395
pc_journalist,could,VIX inter-meeting,0.004,0.9728,0.004,0.9688
pc_journalist,could,share (N2),-0.104,0.357,0.055,0.629
pc_journalist,could,count (N3),-0.016,0.8891,-0.047,0.678
pc_journalist,may,"baseline per1k, T1",-0.032,0.7761,-0.072,0.5248
pc_journalist,may,"per1k, excl-2020",-0.023,0.8515,-0.074,0.5385
pc_journalist,may,"per1k, 2010–2026",-0.052,0.6208,-0.026,0.805
pc_journalist,may,CFNAI lag 1,0.013,0.912,-0.072,0.5248
pc_journalist,may,VIX inter-meeting,-0.032,0.7761,-0.104,0.3593
pc_journalist,may,share (N2),-0.051,0.6541,-0.068,0.5494
pc_journalist,may,count (N3),-0.033,0.7697,-0.099,0.382
pc_journalist,should,"baseline per1k, T1",0.168,0.136,0.009,0.9386
pc_journalist,should,"per1k, excl-2020",0.16,0.1833,-0.054,0.6544
pc_journalist,should,"per1k, 2010–2026",0.22,0.0355,0.034,0.749
pc_journalist,should,CFNAI lag 1,0.219,0.0511,0.009,0.9386
pc_journalist,should,VIX inter-meeting,0.168,0.136,-0.0,0.9967
pc_journalist,should,share (N2),0.159,0.1587,-0.004,0.97
pc_journalist,should,count (N3),0.155,0.17,-0.029,0.7975
