level,key,unit,macro,rho_T1,p_T1,rho_T2,p_T2,rho_T3,rho_H1,rho_H2,n_tokens_T1,zero_share_T1,T1_only,era_composition,confirmed,unit_level
layer,statement,ALL,cfnai,-0.124,0.2158,-0.178,0.0909,-0.096,0.175,-0.518,770,0.0,False,False,False,modal
layer,statement,ALL,vix,0.061,0.5425,0.045,0.6729,-0.116,-0.405,-0.472,770,0.0,False,False,False,modal
layer,statement,could,cfnai,-0.062,0.535,-0.167,0.1127,-0.017,0.094,-0.438,50,0.505,False,False,False,modal
layer,statement,could,vix,0.332,0.0007,0.451,0.0,0.182,-0.083,-0.012,50,0.505,True,True,False,modal
layer,statement,should,cfnai,-0.012,0.9054,-0.028,0.7928,-0.061,-0.086,,33,0.733,False,False,False,modal
layer,statement,should,vix,-0.337,0.0006,-0.305,0.0032,-0.363,-0.059,,33,0.733,False,False,False,modal
layer,statement,will,cfnai,-0.049,0.6252,-0.07,0.509,-0.05,0.179,-0.331,607,0.0,False,False,False,modal
layer,statement,will,vix,-0.186,0.062,-0.339,0.001,-0.259,-0.443,-0.416,607,0.0,False,False,False,modal
layer,statement,would,cfnai,-0.018,0.8561,-0.106,0.3153,-0.01,0.121,-0.196,49,0.535,False,False,False,modal
layer,statement,would,vix,0.338,0.0005,0.455,0.0,0.221,-0.216,-0.048,49,0.535,True,True,False,modal
genre,minutes,could/activity,cfnai,-0.169,0.0947,-0.092,0.3852,-0.145,0.096,-0.274,199,0.162,False,False,False,U3
genre,minutes,could/activity,vix,0.074,0.4694,0.073,0.4936,0.044,0.155,-0.3,199,0.162,False,False,False,U3
genre,minutes,could/aspectual,cfnai,-0.077,0.4468,-0.039,0.7134,-0.014,0.001,-0.06,40,0.677,False,False,False,U3
genre,minutes,could/aspectual,vix,0.072,0.4812,0.123,0.2455,0.016,0.188,-0.177,40,0.677,False,False,False,U3
genre,minutes,could/causative,cfnai,0.099,0.3295,0.03,0.7744,0.115,0.136,-0.051,385,0.051,False,False,False,U3
genre,minutes,could/causative,vix,0.202,0.0451,0.216,0.0398,0.12,-0.018,0.164,385,0.051,True,True,False,U3
genre,minutes,could/copular_adj,cfnai,-0.147,0.1468,-0.148,0.1617,-0.083,-0.261,-0.04,91,0.424,False,False,False,U3
genre,minutes,could/copular_adj,vix,0.058,0.5715,0.076,0.4726,0.063,0.246,0.181,91,0.424,False,False,False,U3
genre,minutes,could/copular_nom,cfnai,-0.031,0.761,-0.085,0.4226,-0.022,-0.202,0.015,31,0.758,False,False,False,U3
genre,minutes,could/copular_nom,vix,-0.051,0.6148,-0.048,0.6522,-0.026,0.08,0.201,31,0.758,False,False,False,U3
genre,minutes,could/existence,cfnai,-0.001,0.9885,0.008,0.9402,-0.017,-0.317,0.356,61,0.556,False,False,False,U3
genre,minutes,could/existence,vix,-0.004,0.9658,0.025,0.8167,-0.012,0.107,0.07,61,0.556,False,False,False,U3
genre,minutes,could/mental,cfnai,0.172,0.0883,0.158,0.1354,0.159,-0.03,0.348,52,0.646,False,False,False,U3
genre,minutes,could/mental,vix,-0.005,0.9601,-0.037,0.7277,-0.053,0.031,0.143,52,0.646,False,False,False,U3
genre,minutes,could/occurrence,cfnai,0.035,0.7308,-0.016,0.879,0.022,0.075,-0.064,227,0.101,False,False,False,U3
genre,minutes,could/occurrence,vix,0.002,0.9834,0.026,0.8093,-0.061,-0.005,-0.013,227,0.101,False,False,False,U3
genre,minutes,could/other,cfnai,-0.122,0.2309,-0.074,0.4875,-0.128,-0.171,0.029,260,0.152,False,False,False,U3
genre,minutes,could/other,vix,0.025,0.8053,0.069,0.5144,-0.008,0.412,-0.232,260,0.152,False,False,False,U3
genre,minutes,could/policy_action,cfnai,-0.117,0.2472,-0.152,0.1505,-0.094,0.004,-0.247,126,0.404,False,False,False,U3
genre,minutes,could/policy_action,vix,0.243,0.0152,0.175,0.0972,0.161,0.414,-0.079,126,0.404,True,False,False,U3
genre,minutes,may/causative,cfnai,0.012,0.904,0.074,0.487,0.041,0.057,0.087,58,0.566,False,False,False,U3
genre,minutes,may/causative,vix,-0.16,0.1146,-0.11,0.3007,-0.199,0.017,-0.076,58,0.566,False,False,False,U3
genre,minutes,may/copular_adj,cfnai,-0.158,0.1182,-0.143,0.1777,-0.059,0.041,-0.24,77,0.566,False,False,False,U3
genre,minutes,may/copular_adj,vix,-0.022,0.8281,-0.022,0.8351,-0.05,0.127,-0.527,77,0.566,False,False,False,U3
genre,minutes,may/occurrence,cfnai,0.083,0.4152,0.14,0.1866,0.082,0.113,0.16,56,0.576,False,False,False,U3
genre,minutes,may/occurrence,vix,-0.114,0.2592,-0.098,0.3577,-0.153,0.087,-0.053,56,0.576,False,False,False,U3
genre,minutes,may/other,cfnai,-0.19,0.0592,-0.141,0.1837,-0.154,0.067,-0.24,39,0.707,False,False,False,U3
genre,minutes,may/other,vix,-0.07,0.492,-0.074,0.4842,-0.152,0.03,-0.424,39,0.707,False,False,False,U3
genre,minutes,should/activity,cfnai,0.022,0.8297,0.04,0.7085,0.045,-0.051,0.11,44,0.687,False,False,False,U3
genre,minutes,should/activity,vix,-0.222,0.0274,-0.16,0.1299,-0.193,0.093,0.144,44,0.687,False,False,False,U3
genre,minutes,should/aspectual,cfnai,-0.089,0.3832,-0.045,0.6717,-0.095,-0.041,-0.114,34,0.737,False,False,False,U3
