level,key,unit,period,macro,n_tokens,zero_share,n,r,p_r,rho,p_rho,q_rho,eligible,unit_level
genre,statement,will,H1,cfnai,339,0.0,48,0.1965,0.1807,0.1789,0.2237,0.5642,True,modal
genre,statement,will,H1,vix,339,0.0,48,-0.3656,0.0106,-0.4435,0.0016,0.0191,True,modal
genre,statement,will,H2,cfnai,204,0.0,43,-0.3503,0.0213,-0.3314,0.03,0.1099,True,modal
genre,statement,will,H2,vix,204,0.0,43,-0.3664,0.0157,-0.4157,0.0056,0.0204,True,modal
genre,statement,would,T1,cfnai,49,0.535,101,0.1529,0.1269,-0.0183,0.8561,0.9054,True,modal
genre,statement,would,T1,vix,49,0.535,101,0.1784,0.0742,0.3382,0.0005,0.0028,True,modal
genre,statement,would,T2,cfnai,46,0.516,91,0.0094,0.9296,-0.1064,0.3153,0.5358,True,modal
genre,statement,would,T2,vix,46,0.516,91,0.45,0.0,0.4553,0.0,0.0,True,modal
genre,statement,would,T3,cfnai,51,0.632,133,0.1323,0.129,-0.01,0.9095,0.9095,False,modal
genre,statement,would,T3,vix,51,0.632,133,0.1056,0.2263,0.2206,0.0107,0.0322,False,modal
genre,statement,would,H1,cfnai,1,0.979,48,0.0999,0.4994,0.1212,0.412,0.8241,False,modal
genre,statement,would,H1,vix,1,0.979,48,-0.1672,0.256,-0.2158,0.1406,0.3397,False,modal
genre,statement,would,H2,cfnai,45,0.0,43,-0.1764,0.2577,-0.1957,0.2085,0.3277,True,modal
genre,statement,would,H2,vix,45,0.0,43,-0.0524,0.7388,-0.0475,0.7622,0.9398,True,modal
layer,min_committee,ALL,T1,cfnai,958,0.0,99,-0.0474,0.6416,0.0094,0.9261,0.9581,True,modal
layer,min_committee,ALL,T1,vix,958,0.0,99,0.1015,0.3176,0.1217,0.2303,0.3364,True,modal
layer,min_committee,ALL,T2,cfnai,886,0.0,91,-0.0122,0.9087,-0.0193,0.8556,0.9506,True,modal
layer,min_committee,ALL,T2,vix,886,0.0,91,0.07,0.5098,0.0982,0.3542,0.5976,True,modal
layer,min_committee,ALL,T3,cfnai,1254,0.0,131,-0.018,0.8386,0.1014,0.2492,0.6743,True,modal
layer,min_committee,ALL,T3,vix,1254,0.0,131,0.0817,0.3536,0.0972,0.2695,0.3815,True,modal
layer,min_committee,ALL,H1,cfnai,534,0.0,48,0.1202,0.4158,0.1794,0.2223,0.4198,True,modal
layer,min_committee,ALL,H1,vix,534,0.0,48,-0.124,0.401,-0.1138,0.4414,0.8358,True,modal
layer,min_committee,ALL,H2,cfnai,352,0.0,43,-0.2005,0.1973,-0.2228,0.1509,0.4025,True,modal
layer,min_committee,ALL,H2,vix,352,0.0,43,-0.2227,0.1512,-0.18,0.2482,0.4582,True,modal
layer,min_committee,could,T1,cfnai,83,0.293,99,0.1048,0.3018,-0.2509,0.0122,0.1836,True,modal
layer,min_committee,could,T1,vix,83,0.293,99,0.1305,0.198,0.2454,0.0144,0.058,True,modal
layer,min_committee,could,T2,cfnai,79,0.275,91,-0.2739,0.0086,-0.3701,0.0003,0.0092,True,modal
layer,min_committee,could,T2,vix,79,0.275,91,0.3032,0.0035,0.3368,0.0011,0.0066,True,modal
layer,min_committee,could,T3,cfnai,130,0.282,131,0.0942,0.2848,-0.1302,0.1383,0.4611,True,modal
layer,min_committee,could,T3,vix,130,0.282,131,0.2199,0.0116,0.255,0.0033,0.0123,True,modal
layer,min_committee,could,H1,cfnai,35,0.521,48,-0.3045,0.0353,-0.415,0.0034,0.0839,False,modal
layer,min_committee,could,H1,vix,35,0.521,48,0.0651,0.6604,0.19,0.1959,0.5796,False,modal
layer,min_committee,could,H2,cfnai,44,0.0,43,-0.6888,0.0,-0.5479,0.0001,0.0034,True,modal
layer,min_committee,could,H2,vix,44,0.0,43,-0.0958,0.5411,-0.1201,0.4431,0.6096,True,modal
layer,min_committee,should,T1,cfnai,85,0.455,99,0.0622,0.5407,-0.136,0.1794,0.6125,True,modal
layer,min_committee,should,T1,vix,85,0.455,99,-0.1307,0.1972,-0.0218,0.8306,0.89,True,modal
layer,min_committee,should,T2,cfnai,84,0.418,91,-0.11,0.2993,-0.1872,0.0755,0.3454,True,modal
layer,min_committee,should,T2,vix,84,0.418,91,-0.0095,0.9284,0.0868,0.4135,0.6215,True,modal
layer,min_committee,should,T3,cfnai,107,0.496,131,0.0588,0.5045,-0.075,0.3944,0.8451,True,modal
layer,min_committee,should,T3,vix,107,0.496,131,-0.1503,0.0865,-0.0791,0.369,0.4814,True,modal
layer,min_committee,should,H1,cfnai,49,0.417,48,-0.1531,0.2988,-0.2765,0.0571,0.3188,True,modal
layer,min_committee,should,H1,vix,49,0.417,48,0.1175,0.4264,0.1848,0.2087,0.5796,True,modal
layer,min_committee,should,H2,cfnai,35,0.419,43,-0.0976,0.5336,-0.1158,0.4595,0.6487,False,modal
layer,min_committee,should,H2,vix,35,0.419,43,-0.2356,0.1282,-0.1432,0.3595,0.5393,False,modal
layer,min_committee,will,T1,cfnai,37,0.778,99,0.043,0.6727,-0.1594,0.115,0.5751,False,modal
layer,min_committee,will,T1,vix,37,0.778,99,-0.0598,0.5563,-0.0034,0.9734,0.98,False,modal
layer,min_committee,will,T2,cfnai,35,0.769,91,-0.2151,0.0406,-0.2325,0.0266,0.1806,False,modal
layer,min_committee,will,T2,vix,35,0.769,91,-0.0206,0.8467,0.0203,0.8488,0.8849,False,modal
layer,min_committee,will,T3,cfnai,62,0.718,131,0.0317,0.7193,-0.1538,0.0795,0.3975,False,modal
layer,min_committee,will,T3,vix,62,0.718,131,-0.0405,0.646,-0.0109,0.9018,0.9018,False,modal
layer,min_committee,will,H1,cfnai,20,0.75,48,-0.218,0.1366,-0.2468,0.0908,0.3188,False,modal
layer,min_committee,will,H1,vix,20,0.75,48,0.1163,0.4312,0.2103,0.1513,0.5796,False,modal
layer,min_committee,will,H2,cfnai,15,0.791,43,-0.2246,0.1475,-0.2269,0.1434,0.4025,False,modal
layer,min_committee,will,H2,vix,15,0.791,43,-0.1804,0.2471,-0.1506,0.3349,0.5358,False,modal
layer,min_committee,would,T1,cfnai,719,0.0,99,-0.1311,0.1959,0.2568,0.0103,0.1836,True,modal
layer,min_committee,would,T1,vix,719,0.0,99,0.1841,0.0682,0.1155,0.2549,0.3475,True,modal
layer,min_committee,would,T2,cfnai,654,0.0,91,0.2716,0.0092,0.3039,0.0034,0.0512,True,modal
layer,min_committee,would,T2,vix,654,0.0,91,0.0071,0.9466,-0.0194,0.8554,0.8849,True,modal
layer,min_committee,would,T3,cfnai,918,0.008,131,-0.0939,0.2861,0.2704,0.0018,0.0535,True,modal
layer,min_committee,would,T3,vix,918,0.008,131,0.1199,0.1725,0.0951,0.2797,0.3815,True,modal
layer,min_committee,would,H1,cfnai,407,0.0,48,0.3306,0.0217,0.3273,0.0232,0.2897,True,modal
layer,min_committee,would,H1,vix,407,0.0,48,-0.2642,0.0696,-0.3114,0.0312,0.2598,True,modal
layer,min_committee,would,H2,cfnai,247,0.0,43,0.2661,0.0846,0.2778,0.0713,0.2775,True,modal
layer,min_committee,would,H2,vix,247,0.0,43,0.2613,0.0905,0.2775,0.0716,0.2149,True,modal
layer,min_participants,ALL,T1,cfnai,2756,0.0,99,-0.1318,0.1934,-0.0905,0.373,0.8841,True,modal
layer,min_participants,ALL,T1,vix,2756,0.0,99,0.2628,0.0086,0.1436,0.1562,0.2999,True,modal
layer,min_participants,ALL,T2,cfnai,2444,0.0,91,0.0339,0.7497,-0.0054,0.9595,0.9787,True,modal
layer,min_participants,ALL,T2,vix,2444,0.0,91,0.0495,0.6412,0.0637,0.5486,0.6857,True,modal
layer,min_participants,ALL,T3,cfnai,3359,0.0,131,-0.1152,0.1902,-0.0691,0.4331,0.847,True,modal
layer,min_participants,ALL,T3,vix,3359,0.0,131,0.0834,0.3436,0.0249,0.7773,0.8826,True,modal
layer,min_participants,ALL,H1,cfnai,1264,0.0,48,0.0642,0.6649,0.098,0.5074,0.5731,True,modal
layer,min_participants,ALL,H1,vix,1264,0.0,48,-0.0271,0.855,-0.0086,0.9539,0.9539,True,modal
layer,min_participants,ALL,H2,cfnai,1180,0.0,43,0.0008,0.9958,-0.0736,0.6391,0.7304,True,modal
layer,min_participants,ALL,H2,vix,1180,0.0,43,-0.0588,0.7082,-0.0453,0.773,0.8834,True,modal
layer,min_participants,could,T1,cfnai,875,0.0,99,0.0547,0.5905,-0.1749,0.0834,0.5002,True,modal
layer,min_participants,could,T1,vix,875,0.0,99,0.1699,0.0926,0.1243,0.2204,0.3364,True,modal
layer,min_participants,could,T2,cfnai,776,0.0,91,-0.1261,0.2336,-0.2275,0.0301,0.1806,True,modal
layer,min_participants,could,T2,vix,776,0.0,91,0.0915,0.3882,0.0753,0.4782,0.6237,True,modal
layer,min_participants,could,T3,cfnai,1060,0.0,131,0.0395,0.6539,-0.1741,0.0468,0.3458,True,modal
layer,min_participants,could,T3,vix,1060,0.0,131,0.1084,0.2178,0.0585,0.5069,0.6082,True,modal
layer,min_participants,could,H1,cfnai,382,0.0,48,-0.2507,0.0856,-0.1824,0.2146,0.4198,True,modal
layer,min_participants,could,H1,vix,382,0.0,48,0.0251,0.8654,0.0583,0.6939,0.8358,True,modal
layer,min_participants,could,H2,cfnai,394,0.0,43,-0.0836,0.5943,-0.1876,0.2284,0.4567,True,modal
layer,min_participants,could,H2,vix,394,0.0,43,-0.065,0.6787,-0.1164,0.4572,0.6096,True,modal
layer,min_participants,may,T1,cfnai,157,0.323,99,0.0069,0.9459,-0.0308,0.7621,0.9581,True,modal
layer,min_participants,may,T1,vix,157,0.323,99,-0.037,0.7159,-0.1203,0.2355,0.3364,True,modal
layer,min_participants,may,T2,cfnai,147,0.297,91,-0.0394,0.7105,-0.0028,0.9787,0.9787,True,modal
layer,min_participants,may,T2,vix,147,0.297,91,-0.1258,0.2347,-0.0828,0.4351,0.6215,True,modal
layer,min_participants,may,T3,cfnai,182,0.389,131,0.015,0.8653,0.0273,0.7573,0.9832,True,modal
layer,min_participants,may,T3,vix,182,0.389,131,-0.1238,0.1589,-0.2071,0.0176,0.0491,True,modal
layer,min_participants,may,H1,cfnai,69,0.333,48,0.2373,0.1043,0.1905,0.1946,0.4198,True,modal
layer,min_participants,may,H1,vix,69,0.333,48,0.15,0.3087,0.1128,0.4454,0.8358,True,modal
