genre,feature,target,k_months,n,r,p
minutes,should_per1k,CFNAI_MA3,-1,99,-0.012,0.9098
minutes,should_per1k,CFNAI_MA3,0,99,-0.068,0.5026
minutes,should_per1k,CFNAI_MA3,1,99,-0.006,0.9494
minutes,should_per1k,CFNAI_MA3,2,99,0.009,0.9265
minutes,should_per1k,CFNAI_MA3,3,99,0.045,0.6597
minutes,should_per1k,CFNAI_MA3,4,98,0.051,0.6191
minutes,should_per1k,CFNAI_MA3,5,97,0.052,0.6106
minutes,should_per1k,CFNAI_MA3,6,97,-0.007,0.9454
minutes,should_per1k,CFNAI_MA3,7,96,-0.082,0.4272
minutes,should_per1k,CFNAI_MA3,8,95,-0.081,0.4354
minutes,should_per1k,CFNAI_MA3,9,95,0.015,0.8838
minutes,should_per1k,VIX_M,-9,99,-0.217,0.0309
minutes,should_per1k,VIX_M,-8,99,-0.168,0.0968
minutes,should_per1k,VIX_M,-7,99,-0.199,0.0484
minutes,should_per1k,VIX_M,-6,99,-0.187,0.0644
minutes,should_per1k,VIX_M,-5,99,-0.24,0.0167
minutes,should_per1k,VIX_M,-4,99,-0.235,0.0192
minutes,should_per1k,VIX_M,-3,99,-0.248,0.0134
minutes,should_per1k,VIX_M,-2,99,-0.26,0.0094
minutes,should_per1k,VIX_M,-1,99,-0.16,0.114
