doc_type,year,n_docs,n_tokens,will,would,could,can,should,may,will_per1k,will_share,would_per1k,would_share,could_per1k,could_share,can_per1k,can_share,should_per1k,should_share,may_per1k,may_share
speech,2019,17,38112,151,63,40,89,26,53,3.9620067170445004,0.3578199052132701,1.6530226700251889,0.14928909952606634,1.0495382031905962,0.0947867298578199,2.3352225020990764,0.2109004739336493,0.6821998320738875,0.061611374407582936,1.3906381192275399,0.12559241706161137
speech,2020,6,11286,53,22,14,34,6,7,4.696083643452065,0.3897058823529412,1.949317738791423,0.16176470588235295,1.240474924685451,0.10294117647058823,3.012581959950381,0.25,0.531632110579479,0.04411764705882353,0.6202374623427255,0.051470588235294115
speech,2021,9,12870,71,13,10,28,7,8,5.516705516705517,0.5182481751824818,1.0101010101010102,0.0948905109489051,0.777000777000777,0.072992700729927,2.1756021756021755,0.20437956204379562,0.5439005439005439,0.051094890510948905,0.6216006216006216,0.058394160583941604
speech,2022,6,9879,63,18,7,12,3,18,6.377163680534467,0.5206611570247934,1.8220467658669905,0.1487603305785124,0.7085737422816074,0.05785123966942149,1.214697843911327,0.09917355371900827,0.30367446097783174,0.024793388429752067,1.8220467658669905,0.1487603305785124
speech,2023,9,14215,71,27,20,21,14,14,4.9947238832219485,0.4251497005988024,1.8994020400984875,0.16167664670658682,1.4069644741470277,0.11976047904191617,1.4773126978543791,0.12574850299401197,0.9848751319029194,0.08383233532934131,0.9848751319029194,0.08383233532934131
speech,2024,6,9750,48,23,7,19,2,8,4.923076923076923,0.4485981308411215,2.358974358974359,0.21495327102803738,0.717948717948718,0.06542056074766354,1.9487179487179487,0.17757009345794392,0.20512820512820512,0.018691588785046728,0.8205128205128205,0.07476635514018691
speech,2025,12,20302,97,40,23,30,5,22,4.777854398581421,0.4470046082949309,1.9702492365284208,0.18433179723502305,1.132893311003842,0.10599078341013825,1.4776869273963156,0.1382488479262673,0.2462811545660526,0.02304147465437788,1.0836370800906314,0.10138248847926268
speech,2026,3,2132,10,4,1,6,2,2,4.690431519699812,0.4,1.876172607879925,0.16,0.46904315196998125,0.04,2.8142589118198873,0.24,0.9380863039399625,0.08,0.9380863039399625,0.08
statement,2014,8,6820,90,0,4,1,19,7,13.196480938416423,0.743801652892562,0.0,0.0,0.5865102639296188,0.03305785123966942,0.1466275659824047,0.008264462809917356,2.7859237536656893,0.15702479338842976,1.0263929618768328,0.05785123966942149
statement,2015,8,4676,50,0,0,1,8,8,10.6928999144568,0.746268656716418,0.0,0.0,0.0,0.0,0.21385799828913601,0.014925373134328358,1.7108639863130881,0.11940298507462686,1.7108639863130881,0.11940298507462686
statement,2016,8,4630,64,0,0,0,8,0,13.822894168466522,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,1.7278617710583153,0.1111111111111111,0.0,0.0
statement,2017,8,4208,71,1,0,0,3,0,16.872623574144487,0.9466666666666667,0.2376425855513308,0.013333333333333334,0.0,0.0,0.0,0.0,0.7129277566539924,0.04,0.0,0.0
statement,2018,8,2883,40,0,0,0,0,0,13.87443635102324,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
statement,2019,8,2856,28,0,0,0,0,3,9.803921568627452,0.9032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.050420168067227,0.0967741935483871
statement,2020,10,4584,65,3,3,2,0,1,14.179755671902269,0.8783783783783784,0.6544502617801047,0.04054054054054054,0.6544502617801047,0.04054054054054054,0.4363001745200698,0.02702702702702703,0.0,0.0,0.2181500872600349,0.013513513513513514
statement,2021,8,4108,50,10,8,0,0,1,12.171372930866601,0.7246376811594203,2.4342745861733204,0.14492753623188406,1.9474196689386563,0.11594202898550725,0.0,0.0,0.0,0.0,0.24342745861733203,0.014492753623188406
statement,2022,8,2974,33,8,8,0,0,0,11.09616677874916,0.673469387755102,2.6899798251513114,0.16326530612244897,2.6899798251513114,0.16326530612244897,0.0,0.0,0.0,0.0,0.0,0.0
statement,2023,8,2874,39,8,8,0,0,7,13.569937369519833,0.6290322580645161,2.7835768963117604,0.12903225806451613,2.7835768963117604,0.12903225806451613,0.0,0.0,0.0,0.0,2.4356297842727908,0.11290322580645161
statement,2024,8,2928,40,8,8,0,0,0,13.66120218579235,0.7142857142857143,2.73224043715847,0.14285714285714285,2.73224043715847,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0
statement,2025,8,2829,33,8,8,0,0,0,11.664899257688228,0.673469387755102,2.8278543655001767,0.16326530612244897,2.8278543655001767,0.16326530612244897,0.0,0.0,0.0,0.0,0.0,0.0
statement,2026,3,981,9,3,3,0,0,0,9.174311926605505,0.6,3.058103975535168,0.2,3.058103975535168,0.2,0.0,0.0,0.0,0.0,0.0,0.0
