doc_type,modal,subj_type,n,share
press_conf,may,econ,74,0.12714776632302405
press_conf,may,fed,6,0.010309278350515464
press_conf,may,it_there_rel,261,0.4484536082474227
press_conf,may,none,11,0.018900343642611683
press_conf,may,other,97,0.16666666666666666
press_conf,may,person,61,0.10481099656357389
press_conf,may,we_I,72,0.12371134020618557
press_conf,should,committee,3,0.004335260115606936
press_conf,should,econ,98,0.1416184971098266
press_conf,should,fed,15,0.02167630057803468
press_conf,should,it_there_rel,149,0.2153179190751445
press_conf,should,none,7,0.010115606936416185
press_conf,should,other,124,0.1791907514450867
press_conf,should,person,107,0.1546242774566474
press_conf,should,we_I,189,0.273121387283237
press_conf,will,committee,76,0.015728476821192054
press_conf,will,econ,653,0.13514072847682118
press_conf,will,fed,38,0.007864238410596027
press_conf,will,it_there_rel,1076,0.222682119205298
press_conf,will,none,40,0.008278145695364239
press_conf,will,other,584,0.12086092715231789
press_conf,will,person,449,0.09292218543046357
press_conf,will,risks,1,0.00020695364238410596
press_conf,will,we_I,1915,0.3963162251655629
press_conf,would,committee,25,0.0063922270519048835
press_conf,would,econ,188,0.048069547430324724
press_conf,would,fed,26,0.006647916133981079
press_conf,would,it_there_rel,919,0.23497826642802352
press_conf,would,none,56,0.014318588596266939
press_conf,would,other,352,0.09000255689082076
press_conf,would,person,526,0.13449245717207875
press_conf,would,risks,5,0.0012784454103809768
press_conf,would,we_I,1814,0.46381999488621833
speech,can,committee,2,0.0035026269702276708
speech,can,econ,102,0.1786339754816112
speech,can,fed,17,0.0297723292469352
speech,can,it_there_rel,70,0.12259194395796848
speech,can,none,31,0.0542907180385289
speech,can,other,182,0.318739054290718
speech,can,person,50,0.08756567425569177
speech,can,risks,2,0.0035026269702276708
speech,can,we_I,115,0.20140105078809106
speech,could,committee,9,0.023316062176165803
speech,could,econ,105,0.27202072538860106
speech,could,fed,2,0.0051813471502590676
speech,could,it_there_rel,69,0.17875647668393782
speech,could,none,5,0.012953367875647668
speech,could,other,137,0.3549222797927461
speech,could,person,31,0.08031088082901554
speech,could,we_I,28,0.07253886010362694
speech,may,committee,3,0.00683371298405467
speech,may,econ,96,0.21867881548974943
speech,may,fed,1,0.002277904328018223
speech,may,it_there_rel,90,0.20501138952164008
speech,may,none,3,0.00683371298405467
speech,may,other,198,0.4510250569476082
speech,may,person,31,0.07061503416856492
speech,may,risks,1,0.002277904328018223
speech,may,we_I,16,0.03644646924829157
speech,should,committee,2,0.008771929824561403
speech,should,econ,71,0.31140350877192985
speech,should,fed,5,0.021929824561403508
speech,should,it_there_rel,18,0.07894736842105263
speech,should,none,4,0.017543859649122806
speech,should,other,62,0.2719298245614035
speech,should,person,20,0.08771929824561403
speech,should,risks,1,0.0043859649122807015
speech,should,we_I,45,0.19736842105263158
speech,will,committee,28,0.022819885900570498
speech,will,econ,220,0.17929910350448247
speech,will,fed,10,0.008149959250203748
speech,will,it_there_rel,160,0.13039934800325997
speech,will,none,9,0.007334963325183374
speech,will,other,344,0.280358598207009
speech,will,person,66,0.05378973105134474
speech,will,we_I,390,0.31784841075794623
speech,would,committee,20,0.03048780487804878
speech,would,econ,149,0.22713414634146342
speech,would,fed,7,0.010670731707317074
speech,would,it_there_rel,121,0.18445121951219512
speech,would,none,9,0.013719512195121951
speech,would,other,214,0.32621951219512196
speech,would,person,35,0.053353658536585365
speech,would,risks,1,0.001524390243902439
speech,would,we_I,100,0.1524390243902439
statement,can,it_there_rel,2,0.5
statement,can,other,2,0.5
statement,could,econ,4,0.08
statement,could,it_there_rel,46,0.92
statement,may,econ,17,0.6296296296296297
statement,may,it_there_rel,5,0.18518518518518517
statement,may,other,5,0.18518518518518517
statement,should,committee,2,0.05263157894736842
statement,should,econ,28,0.7368421052631579
statement,should,it_there_rel,6,0.15789473684210525
statement,should,none,1,0.02631578947368421
statement,should,other,1,0.02631578947368421
statement,will,committee,270,0.4411764705882353
statement,will,econ,138,0.22549019607843138
statement,will,fed,11,0.017973856209150325
statement,will,it_there_rel,75,0.12254901960784313
statement,will,other,118,0.19281045751633988
statement,would,committee,46,0.9387755102040817
statement,would,it_there_rel,3,0.061224489795918366
