genre,modal,pclass,total_n,macro,n,r,p,rho,p_rho,q_bh
press_conf,should,copular_nom,55,vix_pre28,80,0.178,0.1148,0.085,0.4511,0.4433
press_conf,should,mental,137,cfnai_ma3_lag2,80,0.095,0.4032,0.084,0.46,0.7326
press_conf,should,mental,137,vix_pre28,80,0.025,0.8226,-0.04,0.7236,0.9332
press_conf,should,other,96,cfnai_ma3_lag2,80,0.16,0.1552,0.315,0.0045,0.5057
press_conf,should,other,96,vix_pre28,80,0.034,0.7613,-0.005,0.9653,0.9044
press_conf,should,policy_action,45,cfnai_ma3_lag2,80,0.072,0.5283,-0.066,0.5626,0.8327
press_conf,should,policy_action,45,vix_pre28,80,-0.158,0.1603,-0.122,0.2811,0.5057
press_conf,will,activity,1024,cfnai_ma3_lag2,80,0.068,0.5496,0.06,0.5963,0.8484
press_conf,will,activity,1024,vix_pre28,80,0.37,0.0007,0.359,0.0011,0.0177
press_conf,will,aspectual,356,cfnai_ma3_lag2,80,0.091,0.4227,0.082,0.4693,0.7409
press_conf,will,aspectual,356,vix_pre28,80,0.283,0.0111,0.263,0.0186,0.1234
press_conf,will,causative,120,cfnai_ma3_lag2,80,0.112,0.3235,0.152,0.1782,0.647
press_conf,will,causative,120,vix_pre28,80,0.095,0.4007,0.067,0.5554,0.7326
press_conf,will,communication,284,cfnai_ma3_lag2,80,0.063,0.5764,0.063,0.5773,0.8554
press_conf,will,communication,284,vix_pre28,80,0.097,0.3902,0.178,0.1133,0.7306
press_conf,will,copular_adj,429,cfnai_ma3_lag2,80,0.151,0.1803,0.122,0.2805,0.5311
press_conf,will,copular_adj,429,vix_pre28,80,0.219,0.0515,0.212,0.0587,0.3064
press_conf,will,copular_bare,111,cfnai_ma3_lag2,80,0.194,0.0854,0.214,0.0571,0.3956
press_conf,will,copular_bare,111,vix_pre28,80,0.203,0.0705,0.262,0.0187,0.368
press_conf,will,copular_nom,324,cfnai_ma3_lag2,80,-0.13,0.2516,-0.143,0.2064,0.5905
press_conf,will,copular_nom,324,vix_pre28,80,0.183,0.105,0.146,0.1958,0.423
press_conf,will,copular_prep,68,cfnai_ma3_lag2,80,0.051,0.6564,0.086,0.446,0.8785
press_conf,will,copular_prep,68,vix_pre28,80,0.218,0.0518,-0.052,0.6483,0.3064
press_conf,will,existence,360,cfnai_ma3_lag2,80,0.033,0.7718,-0.144,0.202,0.9044
press_conf,will,existence,360,vix_pre28,80,0.152,0.1792,0.152,0.1769,0.5311
press_conf,will,mental,626,cfnai_ma3_lag2,80,0.019,0.8683,-0.026,0.8167,0.9694
press_conf,will,mental,626,vix_pre28,80,0.09,0.4264,0.164,0.1461,0.7409
press_conf,will,occurrence,295,cfnai_ma3_lag2,80,0.184,0.102,0.213,0.0579,0.419
press_conf,will,occurrence,295,vix_pre28,80,0.238,0.0335,0.272,0.0145,0.2562
press_conf,will,other,507,cfnai_ma3_lag2,80,0.074,0.5133,0.22,0.0498,0.8327
press_conf,will,other,507,vix_pre28,80,0.325,0.0033,0.311,0.005,0.051
press_conf,will,policy_action,308,cfnai_ma3_lag2,80,0.123,0.2764,0.063,0.5791,0.6136
press_conf,will,policy_action,308,vix_pre28,80,-0.19,0.0915,-0.312,0.0049,0.4038
press_conf,would,activity,436,cfnai_ma3_lag2,80,0.03,0.7897,-0.085,0.453,0.9149
press_conf,would,activity,436,vix_pre28,80,-0.133,0.2405,-0.072,0.5268,0.5905
press_conf,would,aspectual,66,cfnai_ma3_lag2,80,-0.184,0.1015,0.057,0.6171,0.419
press_conf,would,aspectual,66,vix_pre28,80,0.146,0.196,0.076,0.5032,0.556
press_conf,would,causative,138,cfnai_ma3_lag2,80,0.09,0.4248,0.015,0.8944,0.7409
press_conf,would,causative,138,vix_pre28,80,-0.141,0.2111,-0.09,0.4279,0.581
press_conf,would,communication,925,cfnai_ma3_lag2,80,0.034,0.7666,-0.069,0.5452,0.9044
press_conf,would,communication,925,vix_pre28,80,0.15,0.1842,0.108,0.3386,0.5334
press_conf,would,copular_adj,347,cfnai_ma3_lag2,80,0.013,0.9113,0.056,0.6233,0.9775
press_conf,would,copular_adj,347,vix_pre28,80,-0.276,0.0133,-0.269,0.0158,0.1369
press_conf,would,copular_bare,105,cfnai_ma3_lag2,80,0.133,0.2381,0.142,0.2105,0.5905
press_conf,would,copular_bare,105,vix_pre28,80,-0.046,0.6826,0.016,0.8867,0.8785
press_conf,would,copular_nom,279,cfnai_ma3_lag2,80,0.13,0.2515,-0.019,0.8659,0.5905
press_conf,would,copular_nom,279,vix_pre28,80,-0.176,0.1174,-0.183,0.1044,0.4471
press_conf,would,copular_prep,57,cfnai_ma3_lag2,80,-0.014,0.9015,0.082,0.4713,0.9775
press_conf,would,copular_prep,57,vix_pre28,80,0.106,0.3512,0.134,0.2359,0.6876
press_conf,would,existence,209,cfnai_ma3_lag2,80,0.065,0.5661,0.151,0.1815,0.8553
press_conf,would,existence,209,vix_pre28,80,0.061,0.5937,0.03,0.7886,0.8641
press_conf,would,mental,586,cfnai_ma3_lag2,80,0.081,0.4747,0.282,0.0114,0.7902
press_conf,would,mental,586,vix_pre28,80,0.064,0.5719,0.034,0.7644,0.8554
press_conf,would,occurrence,77,cfnai_ma3_lag2,80,-0.121,0.2833,-0.029,0.7991,0.6201
press_conf,would,occurrence,77,vix_pre28,80,-0.137,0.2255,-0.17,0.1328,0.5898
press_conf,would,other,560,cfnai_ma3_lag2,80,0.225,0.0447,0.18,0.11,0.3015
press_conf,would,other,560,vix_pre28,80,-0.264,0.0177,-0.276,0.0131,0.164
press_conf,would,policy_action,118,cfnai_ma3_lag2,80,0.061,0.5921,0.047,0.6791,0.8641
press_conf,would,policy_action,118,vix_pre28,80,-0.223,0.0468,-0.192,0.0882,0.3015
speech,can,activity,114,cfnai_ma3_lag2,124,-0.158,0.0794,-0.1,0.2693,0.3806
speech,can,activity,114,vix_pre28,124,0.092,0.3085,0.019,0.8379,0.6448
speech,can,causative,59,cfnai_ma3_lag2,124,0.039,0.6673,0.028,0.7574,0.8785
speech,can,causative,59,vix_pre28,124,0.124,0.1696,-0.145,0.1078,0.514
