feature,genre,sample,macro,zero_share,total_n,n,r,p,rho,p_rho,q_bh
beComp:adjectival,statement,full,cfnai_ma3_lag2,0.32,114,101,0.237,0.0168,0.132,0.1887,0.083
beComp:adjectival,statement,full,vix_pre28,0.32,114,101,0.119,0.2341,0.259,0.009,0.5462
beComp:adjectival,statement,excl2020,cfnai_ma3_lag2,0.32,114,91,0.075,0.48,0.009,0.9317,0.7467
beComp:adjectival,statement,excl2020,vix_pre28,0.32,114,91,0.421,0.0,0.389,0.0001,0.0
beComp:nominal,statement,full,cfnai_ma3_lag2,1.0,0,101,,,,,
beComp:nominal,statement,full,vix_pre28,1.0,0,101,,,,,
beComp:nominal,statement,excl2020,cfnai_ma3_lag2,1.0,0,91,,,,,
beComp:nominal,statement,excl2020,vix_pre28,1.0,0,91,,,,,
beComp:prepositional,statement,full,cfnai_ma3_lag2,1.0,0,101,,,,,
beComp:prepositional,statement,full,vix_pre28,1.0,0,101,,,,,
beComp:prepositional,statement,excl2020,cfnai_ma3_lag2,1.0,0,91,,,,,
beComp:prepositional,statement,excl2020,vix_pre28,1.0,0,91,,,,,
will+be+appropriate,statement,full,cfnai_ma3_lag2,0.61,47,101,0.274,0.0055,0.369,0.0001,0.0462
will+be+appropriate,statement,full,vix_pre28,0.61,47,101,0.155,0.1221,0.209,0.0358,0.3799
will+be+appropriate,statement,excl2020,cfnai_ma3_lag2,0.61,47,91,0.324,0.0017,0.291,0.0052,0.0178
will+be+appropriate,statement,excl2020,vix_pre28,0.61,47,91,0.331,0.0013,0.253,0.0157,0.0156
would+be+appropriate,statement,full,cfnai_ma3_lag2,1.0,0,101,,,,,
would+be+appropriate,statement,full,vix_pre28,1.0,0,101,,,,,
would+be+appropriate,statement,excl2020,cfnai_ma3_lag2,1.0,0,91,,,,,
would+be+appropriate,statement,excl2020,vix_pre28,1.0,0,91,,,,,
may+be+appropriate,statement,full,cfnai_ma3_lag2,0.9,10,101,-0.022,0.8268,-0.216,0.0302,0.9597
may+be+appropriate,statement,full,vix_pre28,0.9,10,101,-0.103,0.3056,-0.077,0.4425,0.6418
may+be+appropriate,statement,excl2020,cfnai_ma3_lag2,0.9,10,91,-0.216,0.0395,-0.248,0.0178,0.1659
may+be+appropriate,statement,excl2020,vix_pre28,0.9,10,91,-0.062,0.5618,-0.036,0.7317,0.7865
ANY+be+appropriate,statement,full,cfnai_ma3_lag2,0.51,57,101,0.242,0.0148,0.177,0.0759,0.0777
ANY+be+appropriate,statement,full,vix_pre28,0.51,57,101,0.077,0.4432,0.146,0.146,0.7454
ANY+be+appropriate,statement,excl2020,cfnai_ma3_lag2,0.51,57,91,0.153,0.1482,0.071,0.5034,0.4016
ANY+be+appropriate,statement,excl2020,vix_pre28,0.51,57,91,0.266,0.0107,0.21,0.0459,0.0638
would+be+prepared,statement,full,cfnai_ma3_lag2,0.54,46,101,0.138,0.1701,-0.093,0.3548,0.4371
would+be+prepared,statement,full,vix_pre28,0.54,46,101,0.198,0.0468,0.339,0.0005,0.1837
would+be+prepared,statement,excl2020,cfnai_ma3_lag2,0.54,46,91,-0.065,0.539,-0.2,0.0573,0.7806
would+be+prepared,statement,excl2020,vix_pre28,0.54,46,91,0.475,0.0,0.45,0.0,0.0
