genre,feature,target,n,b_feat,p_feat,adjR2_base,adjR2_with,d_adjR2,q_bh
minutes,would+help,dVIX(+28d),99,-0.4473,0.8533,0.033,0.023,-0.01,0.927
press_conf,would+like,CFNAI_MA3(+3m),80,0.0357,0.8426,0.047,0.034,-0.012,0.927
minutes,would+continue,dVIX(+28d),99,-0.3957,0.8684,0.033,0.023,-0.01,0.927
press_conf,should_per1k,dVIX(+28d),80,-0.1625,0.8647,-0.008,-0.021,-0.013,0.927
minutes,will+assess,dVIX(+28d),99,-0.9412,0.8764,0.033,0.023,-0.01,0.927
press_conf,six_per1k,CFNAI_MA3(+3m),80,0.0106,0.8538,0.047,0.035,-0.012,0.927
press_conf,will+have,CFNAI_MA3(+3m),80,0.0513,0.885,0.047,0.034,-0.012,0.9271
press_conf,will+look,dVIX(+28d),80,0.1919,0.9166,-0.008,-0.021,-0.013,0.9512
minutes,neg_will_per1k,CFNAI_MA3(+3m),99,0.088,0.947,0.036,0.026,-0.01,0.9736
minutes,may_per1k,dVIX(+28d),99,-0.0478,0.9607,0.033,0.023,-0.01,0.9785
statement,will+take,CFNAI_MA3(+3m),101,0.0022,0.9815,-0.01,-0.02,-0.01,0.9905
minutes,would+be+important,dVIX(+28d),99,0.0338,0.9943,0.033,0.023,-0.01,0.9943
