layer,unit,n_tokens,zero_T1,rho_cfnai_T1,p_cfnai_T1,rho_vix_T1,p_vix_T1,hac_b_cfnai_T1,hac_p_cfnai_T1,hac_b_vix_T1,hac_p_vix_T1,zero_T2,rho_cfnai_T2,p_cfnai_T2,rho_vix_T2,p_vix_T2,hac_b_cfnai_T2,hac_p_cfnai_T2,hac_b_vix_T2,hac_p_vix_T2,zero_T3,rho_cfnai_T3,p_cfnai_T3,rho_vix_T3,p_vix_T3
min_special,ALL,783,0.0,0.196,0.2246,-0.161,0.3205,0.3132,0.3521,-0.085,0.7215,0.0,0.21,0.2182,-0.139,0.4188,3.9944,0.2752,-0.1737,0.6108,0.02,0.273,0.0576,-0.033,0.8237
min_special,would,344,0.0,0.049,0.7663,-0.104,0.5218,0.329,0.0802,-0.1021,0.5152,0.0,-0.081,0.6404,-0.124,0.4728,-0.2242,0.935,-0.1664,0.3554,0.04,0.011,0.9384,-0.025,0.866
min_special,could,283,0.2,0.053,0.7439,0.293,0.0664,-0.2087,0.3143,0.1817,0.1666,0.22,0.204,0.2325,0.278,0.1009,1.0869,0.5743,0.2103,0.2635,0.2,0.138,0.3441,0.315,0.0275
min_special,should,58,0.33,0.28,0.0797,0.325,0.0409,0.2754,0.0,0.0687,0.243,0.33,0.259,0.1266,0.443,0.0068,0.6416,0.4166,0.089,0.2294,0.35,0.318,0.0261,0.337,0.018
min_special,will,49,0.62,0.114,0.4847,-0.061,0.7102,-0.0001,0.9991,-0.2082,0.094,0.67,0.108,0.5301,-0.097,0.575,2.6007,0.3692,-0.2936,0.0979,0.69,0.104,0.478,-0.034,0.8172
min_staff,ALL,539,0.0,0.075,0.4586,-0.333,0.0008,-0.0316,0.3398,-0.0443,0.0307,0.0,0.092,0.3861,-0.361,0.0004,0.5004,0.3091,-0.0723,0.0055,0.01,0.058,0.5082,-0.393,0.0
min_staff,would,327,0.07,0.128,0.2073,-0.229,0.0228,-0.0235,0.4311,-0.0132,0.4363,0.08,0.177,0.0928,-0.32,0.002,0.7418,0.0021,-0.0445,0.0108,0.07,0.104,0.2359,-0.269,0.0019
min_staff,could,132,0.36,-0.014,0.8903,-0.266,0.0078,0.015,0.518,-0.021,0.0105,0.34,-0.041,0.6998,-0.204,0.0525,-0.2156,0.4415,-0.0178,0.1412,0.44,-0.002,0.9832,-0.305,0.0004
min_staff,may,57,0.54,0.013,0.9022,-0.255,0.0109,-0.0344,0.0035,-0.0121,0.0021,0.51,0.049,0.6442,-0.227,0.0302,0.042,0.755,-0.0138,0.0225,0.53,-0.007,0.9365,-0.267,0.0021
min_staff_desk,ALL,553,0.15,0.139,0.17,0.139,0.1699,0.4193,0.026,0.081,0.3874,0.16,0.161,0.1262,0.119,0.2593,4.3483,0.1441,0.0293,0.858,0.24,0.135,0.1235,0.113,0.1999
min_staff_desk,would,307,0.18,0.089,0.3831,0.126,0.2131,0.1026,0.3566,0.044,0.4549,0.2,0.123,0.2436,0.097,0.3586,1.8342,0.2426,0.0364,0.7212,0.27,0.132,0.1337,0.134,0.128
min_staff_desk,could,138,0.43,0.213,0.0344,0.211,0.0358,0.2237,0.0012,0.0568,0.0387,0.45,0.252,0.0161,0.222,0.0347,1.6548,0.0737,0.0478,0.2682,0.48,0.182,0.0378,0.147,0.0949
min_staff_desk,may,41,0.72,-0.003,0.9764,-0.003,0.98,-0.0285,0.4486,-0.0108,0.3276,0.7,0.028,0.7954,0.041,0.6995,0.2096,0.6853,-0.0041,0.8275,0.77,-0.003,0.9713,-0.069,0.4369
min_staff_desk,will,35,0.77,0.026,0.7949,-0.14,0.166,0.0543,0.1086,-0.0157,0.3483,0.77,0.012,0.9117,-0.131,0.2149,-0.0093,0.9744,-0.0299,0.1117,0.79,0.006,0.943,-0.132,0.1332
min_staff_desk,should,27,0.84,0.055,0.588,0.046,0.6536,0.0536,0.0354,-0.0008,0.9619,0.85,0.032,0.7655,-0.003,0.9773,0.4497,0.4139,-0.0205,0.4682,0.82,0.04,0.6506,0.104,0.2376
statement,ALL,770,0.0,-0.124,0.2158,0.061,0.5425,-0.2078,0.1953,0.0023,0.9743,0.0,-0.178,0.0909,0.045,0.6729,-2.5642,0.2616,0.0831,0.3078,0.0,-0.096,0.2697,-0.116,0.185
statement,will,607,0.0,-0.049,0.6252,-0.186,0.062,-0.6926,0.0012,-0.0556,0.4005,0.0,-0.07,0.509,-0.339,0.001,-0.1414,0.9184,-0.1839,0.033,0.0,-0.05,0.5647,-0.259,0.0026
statement,could,50,0.5,-0.062,0.535,0.332,0.0007,0.2237,0.0,0.0449,0.3408,0.48,-0.167,0.1127,0.451,0.0,-1.1499,0.2265,0.1657,0.0,0.59,-0.017,0.8452,0.182,0.0357
statement,would,49,0.53,-0.018,0.8561,0.338,0.0005,0.2503,0.0,0.0469,0.325,0.52,-0.106,0.3153,0.455,0.0,-0.5507,0.6531,0.1646,0.0,0.63,-0.01,0.9095,0.221,0.0107
statement,should,33,0.73,-0.012,0.9054,-0.337,0.0006,0.0009,0.9733,-0.0394,0.0222,0.7,-0.028,0.7928,-0.305,0.0032,-0.0724,0.9001,-0.0541,0.071,0.7,-0.061,0.4869,-0.363,0.0
