doc_id,doc_type,date,chair,word_count,compound,pos,neu,neg,n_sent,share_pos,share_neg
speech_bernanke_20110210a,Chair Speech,2011-02-10,Bernanke,4430,0.04985685279187817,0.08231472081218275,0.8562690355329949,0.06139593908629441,197,0.37055837563451777,0.2893401015228426
speech_bernanke_20110218a,Chair Speech,2011-02-18,Bernanke,2155,0.22419871794871796,0.11757692307692306,0.8310000000000002,0.05141025641025641,78,0.5641025641025641,0.19230769230769232
speech_bernanke_20110302a,Chair Speech,2011-03-02,Bernanke,3023,0.08278646616541353,0.07697744360902255,0.8711278195488723,0.051894736842105264,133,0.41353383458646614,0.2556390977443609
speech_bernanke_20110323a,Chair Speech,2011-03-23,Bernanke,2934,0.200593,0.11157,0.8408099999999998,0.04762,100,0.59,0.18
speech_bernanke_20110404a,Chair Speech,2011-04-04,Bernanke,3948,0.15092469879518072,0.09027710843373495,0.8632048192771082,0.046512048192771084,166,0.4879518072289157,0.18674698795180722
speech_bernanke_20110429a,Chair Speech,2011-04-29,Bernanke,2720,-0.06672991452991453,0.08914529914529913,0.7962564102564104,0.11459829059829059,117,0.29914529914529914,0.4700854700854701
speech_bernanke_20110505a,Chair Speech,2011-05-05,Bernanke,3625,0.06218492063492063,0.08441269841269843,0.8507063492063491,0.06485714285714286,126,0.4523809523809524,0.3412698412698413
speech_bernanke_20110512a,Chair Speech,2011-05-12,Bernanke,576,0.4416225806451613,0.19132258064516133,0.7989354838709677,0.00967741935483871,31,0.7741935483870968,0.03225806451612903
speech_bernanke_20110516a,Chair Speech,2011-05-16,Bernanke,4097,0.22903647058823529,0.0914078431372549,0.8953490196078431,0.01324313725490196,255,0.41568627450980394,0.027450980392156862
speech_bernanke_20110607a,Chair Speech,2011-06-07,Bernanke,4429,0.15473132530120481,0.09849999999999999,0.8430180722891568,0.05851204819277108,166,0.5120481927710844,0.2710843373493976
speech_bernanke_20110614a,Chair Speech,2011-06-14,Bernanke,2120,0.08214395604395604,0.10520879120879123,0.8211868131868133,0.07364835164835165,91,0.42857142857142855,0.2857142857142857
speech_bernanke_20110826a,Chair Speech,2011-08-26,Bernanke,3578,0.21014159999999998,0.14558399999999996,0.7874960000000001,0.066976,125,0.592,0.28
speech_bernanke_20110908a,Chair Speech,2011-09-08,Bernanke,2754,-0.007924468085106372,0.10661702127659575,0.7959893617021278,0.09741489361702128,94,0.43617021276595747,0.43617021276595747
speech_bernanke_20110915a,Chair Speech,2011-09-15,Bernanke,609,0.09944800000000001,0.10027999999999998,0.84804,0.051680000000000004,25,0.44,0.24
speech_bernanke_20110928a,Chair Speech,2011-09-28,Bernanke,5110,0.21403102310231023,0.10506600660066007,0.8689405940594059,0.025996699669967,303,0.44884488448844884,0.0924092409240924
speech_bernanke_20111018a,Chair Speech,2011-10-18,Bernanke,4015,0.13895563909774436,0.09207518796992481,0.8572406015037595,0.050691729323308274,133,0.518796992481203,0.2556390977443609
speech_bernanke_20111109a,Chair Speech,2011-11-09,Bernanke,1190,0.440352,0.17323999999999998,0.80808,0.01872,50,0.74,0.04
speech_bernanke_20111110a,Chair Speech,2011-11-10,Bernanke,2287,0.21318229166666666,0.13369791666666667,0.8090000000000002,0.057291666666666664,96,0.59375,0.19791666666666666
speech_bernanke_20120216a,Chair Speech,2012-02-16,Bernanke,3851,0.26199539473684214,0.10943421052631579,0.8583289473684211,0.03220394736842105,152,0.6052631578947368,0.13157894736842105
