doc_id,doc_type,date,chair,n_tokens,modal_count,epistemic_count,msi_modal_density,msi_epistemic_density,msi_total_density,msi_avg_modal_strength,msi_avg_epistemic_strength,msi_signed_per_1000
speech_powell_20180406a,speech,2018-04-06,Powell,4168,46,18,7.582,2.255,9.837,0.687,0.522,3.359
speech_powell_20180508a,speech,2018-05-08,Powell,2373,17,7,4.888,1.854,6.743,0.682,0.629,4.214
speech_powell_20180525a,speech,2018-05-25,Powell,2054,22,11,7.546,3.554,11.1,0.705,0.664,5.842
speech_powell_20180620a,speech,2018-06-20,Powell,2005,23,14,5.935,3.292,9.227,0.517,0.471,-2.993
speech_powell_20180824a,speech,2018-08-24,Powell,5152,58,25,8.734,2.407,11.141,0.776,0.496,5.629
speech_powell_20180927a,speech,2018-09-27,Powell,526,4,2,4.183,1.901,6.084,0.55,0.5,1.901
speech_powell_20181002a,speech,2018-10-02,Powell,4646,56,17,8.201,1.916,10.116,0.68,0.524,4.305
speech_powell_20181128a,speech,2018-11-28,Powell,4270,55,20,8.525,2.365,10.89,0.662,0.505,2.342
speech_powell_20181203a,speech,2018-12-03,Powell,1057,4,1,3.217,0.284,3.5,0.85,0.3,1.892
speech_powell_20181206a,speech,2018-12-06,Powell,1400,10,2,6.5,0.714,7.214,0.91,0.5,6.429
speech_powell_20190206a,speech,2019-02-06,Powell,944,10,0,6.038,0.0,6.038,0.57,0.0,3.178
speech_powell_20190212a,speech,2019-02-12,Powell,3206,16,8,3.119,1.061,4.18,0.625,0.425,-0.312
speech_powell_20190228b,speech,2019-02-28,Powell,3002,38,9,8.528,0.966,9.494,0.674,0.322,0.999
speech_powell_20190308a,speech,2019-03-08,Powell,4532,85,23,13.085,2.449,15.534,0.698,0.483,2.427
speech_powell_20190311a,speech,2019-03-11,Powell,658,3,1,3.647,0.456,4.103,0.8,0.3,1.52
speech_powell_20190509a,speech,2019-05-09,Powell,836,7,4,6.938,1.914,8.852,0.829,0.4,2.392
speech_powell_20190520a,speech,2019-05-20,Powell,3462,38,23,6.672,3.177,9.85,0.608,0.478,0.578
speech_powell_20190604a,speech,2019-06-04,Powell,3375,49,12,10.637,1.541,12.178,0.733,0.433,5.63
speech_powell_20190625a,speech,2019-06-25,Powell,1421,22,10,12.175,4.152,16.327,0.786,0.59,9.148
speech_powell_20190709a,speech,2019-07-09,Powell,758,10,6,9.631,3.694,13.325,0.73,0.467,3.958
speech_powell_20190716a,speech,2019-07-16,Powell,2435,19,12,6.489,2.546,9.035,0.832,0.517,4.107
speech_powell_20190823a,speech,2019-08-23,Powell,4160,44,16,7.043,1.635,8.678,0.666,0.425,1.442
speech_powell_20191004a,speech,2019-10-04,Powell,859,10,5,7.218,4.424,11.641,0.62,0.76,4.657
speech_powell_20191007a,speech,2019-10-07,Powell,814,5,2,5.774,1.229,7.002,0.94,0.5,6.143
speech_powell_20191008a,speech,2019-10-08,Powell,4237,60,19,10.479,2.101,12.58,0.74,0.468,4.012
speech_powell_20191009a,speech,2019-10-09,Powell,712,10,4,8.708,3.933,12.64,0.62,0.7,4.213
speech_powell_20191125a,speech,2019-11-25,Powell,2675,36,12,9.196,2.617,11.813,0.683,0.583,5.607
speech_powell_20200409a,speech,2020-04-09,Powell,956,19,3,15.795,1.36,17.155,0.795,0.433,12.552
speech_powell_20200513a,speech,2020-05-13,Powell,1534,27,3,11.734,0.587,12.321,0.667,0.3,4.563
speech_powell_20200521a,speech,2020-05-21,Powell,549,4,1,5.1,1.275,6.375,0.7,0.7,5.464
speech_powell_20200619a,speech,2020-06-19,Powell,562,9,1,10.676,0.89,11.566,0.667,0.5,5.338
speech_powell_20200827a,speech,2020-08-27,Powell,5448,52,26,6.92,2.717,9.637,0.725,0.569,4.589
speech_powell_20201006a,speech,2020-10-06,Powell,2231,31,16,10.668,4.662,15.329,0.768,0.65,9.413
speech_powell_20210210a,speech,2021-02-10,Powell,3159,35,11,7.724,1.804,9.528,0.697,0.518,3.482
speech_powell_20210318a,speech,2021-03-18,Powell,927,13,3,12.082,1.942,14.024,0.862,0.6,10.787
speech_powell_20210503a,speech,2021-05-03,Powell,1313,12,1,7.083,0.762,7.845,0.775,1.0,6.855
speech_powell_20210817a,speech,2021-08-17,Powell,680,7,1,9.853,0.735,10.588,0.957,0.5,10.294
speech_powell_20210827a,speech,2021-08-27,Powell,3925,48,26,9.121,3.541,12.662,0.746,0.535,4.586
speech_powell_20210924a,speech,2021-09-24,Powell,440,3,0,2.727,0.0,2.727,0.4,0.0,0.0
speech_powell_20211108a,speech,2021-11-08,Powell,802,9,1,9.601,0.623,10.224,0.856,0.5,6.234
speech_powell_20211109a,speech,2021-11-09,Powell,1097,9,4,6.472,1.459,7.931,0.789,0.4,2.735
speech_powell_20211129a,speech,2021-11-29,Powell,520,8,1,14.038,1.923,15.962,0.912,1.0,13.462
speech_powell_20220321a,speech,2022-03-21,Powell,2889,40,28,10.211,5.677,15.888,0.738,0.586,5.538
speech_powell_20220524a,speech,2022-05-24,Powell,681,2,1,1.909,1.468,3.377,0.65,1.0,1.468
speech_powell_20220617a,speech,2022-06-17,Powell,989,14,1,9.606,0.303,9.909,0.679,0.3,3.033
speech_powell_20220826a,speech,2022-08-26,Powell,1506,26,13,14.94,5.843,20.784,0.865,0.677,13.28
speech_powell_20220928a,speech,2022-09-28,Powell,495,3,0,3.434,0.0,3.434,0.567,0.0,0.0
speech_powell_20221130a,speech,2022-11-30,Powell,3329,46,23,11.655,3.755,15.41,0.843,0.543,7.81
speech_powell_20230110a,speech,2023-01-10,Powell,1291,13,4,7.978,2.091,10.07,0.792,0.675,9.295
speech_powell_20230629a,speech,2023-06-29,Powell,1724,26,7,11.775,1.682,13.457,0.781,0.414,5.8
speech_powell_20230825a,speech,2023-08-25,Powell,2821,44,13,11.485,2.517,14.002,0.736,0.546,6.026
speech_powell_20230928a,speech,2023-09-28,Powell,781,8,3,6.914,2.561,9.475,0.675,0.667,1.28
speech_powell_20231019a,speech,2023-10-19,Powell,1369,17,7,9.277,2.995,12.272,0.747,0.586,7.305
speech_powell_20231025a,speech,2023-10-25,Powell,1278,6,4,3.286,2.191,5.477,0.7,0.7,3.13
speech_powell_20231108a,speech,2023-11-08,Powell,915,6,5,4.59,3.607,8.197,0.7,0.66,4.372
speech_powell_20231109a,speech,2023-11-09,Powell,2376,44,10,14.478,2.441,16.919,0.782,0.58,9.68
speech_powell_20231201a,speech,2023-12-01,Powell,1674,15,3,7.348,1.135,8.483,0.82,0.633,5.376
speech_powell_20240403a,speech,2024-04-03,Powell,1514,14,10,7.86,3.831,11.691,0.85,0.58,7.926
