doc_id,doc_type,date,chair,n_tokens,n_sents,modal_count,modals_per_1000,epistemic_count,epistemics_per_1000,mod_can,mod_constraintsâwould,mod_contactâwould,mod_could,mod_employmentâwould,mod_help,mod_hispanicsâwould,mod_hospitalityâwould,mod_indebtednessâcould,mod_may,mod_might,mod_must,mod_need,mod_nextâafter,mod_ought,mod_pricesâwould,mod_servicesâwould,mod_shall,mod_should,mod_will,mod_would,mod_’d,mod_’ll,mod_’s
minutes_20140430,minutes,2014-04-30,Yellen,6860,226,54,7.872,55,8.017,0,0,0,5,0,0,0,0,0,2,2,0,0,0,0,0,0,0,4,17,24,0,0,0
minutes_20140618,minutes,2014-06-18,Yellen,8697,269,100,11.498,92,10.578,0,0,0,12,0,0,0,0,0,3,12,0,0,0,0,0,0,0,9,17,47,0,0,0
minutes_20140730,minutes,2014-07-30,Yellen,8117,255,80,9.856,80,9.856,0,0,0,8,0,0,0,0,0,1,13,0,1,0,0,0,0,0,12,15,30,0,0,0
minutes_20140917,minutes,2014-09-17,Yellen,9270,274,105,11.327,87,9.385,0,0,0,16,0,0,0,0,0,3,15,1,0,0,0,0,0,2,4,31,33,0,0,0
minutes_20141029,minutes,2014-10-29,Yellen,8425,264,99,11.751,101,11.988,0,0,0,15,0,0,0,0,0,7,14,1,0,0,0,0,0,3,10,11,38,0,0,0
minutes_20141217,minutes,2014-12-17,Yellen,7658,236,89,11.622,96,12.536,4,0,0,15,0,0,0,0,0,6,8,1,0,0,0,0,0,2,8,13,32,0,0,0
minutes_20150128,minutes,2015-01-28,Yellen,14590,460,201,13.777,130,8.91,3,0,0,38,0,0,0,0,0,27,15,8,0,0,0,0,0,36,14,13,47,0,0,0
minutes_20150318,minutes,2015-03-18,Yellen,8642,256,107,12.381,88,10.183,2,0,0,16,0,0,0,0,0,6,7,1,0,0,0,0,0,2,10,15,48,0,0,0
minutes_20150429,minutes,2015-04-29,Yellen,7690,248,68,8.843,93,12.094,0,0,0,10,0,0,0,0,0,3,7,0,0,0,0,0,0,0,9,10,29,0,0,0
minutes_20150617,minutes,2015-06-17,Yellen,8186,264,87,10.628,73,8.918,0,0,0,10,0,0,0,0,0,5,17,0,0,0,0,0,0,0,5,12,38,0,0,0
minutes_20150729,minutes,2015-07-29,Yellen,8543,279,90,10.535,72,8.428,0,0,0,11,0,0,0,0,0,2,12,0,0,0,0,0,0,0,7,17,41,0,0,0
minutes_20150917,minutes,2015-09-17,Yellen,7533,248,76,10.089,84,11.151,0,0,0,13,0,0,0,0,0,7,9,0,0,0,0,0,0,0,3,10,34,0,0,0
minutes_20151028,minutes,2015-10-28,Yellen,8169,274,84,10.283,87,10.65,1,0,0,10,0,0,0,0,0,5,10,0,0,0,0,0,0,0,5,15,38,0,0,0
minutes_20151216,minutes,2015-12-16,Yellen,7741,258,75,9.689,73,9.43,0,0,0,12,0,0,0,0,0,5,4,0,0,0,0,0,0,0,6,10,38,0,0,0
minutes_20160127,minutes,2016-01-27,Yellen,13800,431,162,11.739,109,7.899,0,0,0,21,0,0,0,0,0,20,10,7,0,0,0,0,0,32,9,13,50,0,0,0
minutes_20160316,minutes,2016-03-16,Yellen,7843,261,64,8.16,77,9.818,0,0,0,11,0,0,0,0,0,4,5,0,0,0,0,0,0,0,5,8,31,0,0,0
minutes_20160427,minutes,2016-04-27,Yellen,9416,298,87,9.24,105,11.151,0,0,0,11,0,0,0,0,0,5,16,0,0,0,0,0,0,0,9,8,38,0,0,0
minutes_20160615,minutes,2016-06-15,Yellen,8433,274,70,8.301,85,10.079,0,0,0,16,0,0,0,0,0,4,2,0,0,0,0,0,0,0,6,9,33,0,0,0
minutes_20160727,minutes,2016-07-27,Yellen,10412,336,81,7.779,109,10.469,2,0,0,11,0,0,0,0,0,5,4,0,0,0,0,0,0,0,9,9,41,0,0,0
minutes_20160921,minutes,2016-09-21,Yellen,10888,341,105,9.644,98,9.001,0,0,0,16,0,0,0,0,0,9,8,8,0,0,0,0,0,11,4,9,40,0,0,0
minutes_20161102,minutes,2016-11-02,Yellen,9379,303,86,9.169,98,10.449,1,0,0,27,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,10,40,0,0,0
minutes_20161214,minutes,2016-12-14,Yellen,8495,290,72,8.476,84,9.888,0,0,0,11,0,0,0,0,0,1,13,0,0,0,0,0,0,0,3,9,35,0,0,0
minutes_20170201,minutes,2017-02-01,Yellen,12621,418,126,9.983,100,7.923,0,0,0,9,0,0,0,0,0,17,15,10,0,0,0,0,0,16,5,12,42,0,0,0
minutes_20170315,minutes,2017-03-15,Yellen,9146,304,85,9.294,87,9.512,0,0,0,14,0,0,0,0,0,2,4,0,0,0,0,0,0,0,11,9,45,0,0,0
minutes_20170503,minutes,2017-05-03,Yellen,8702,293,76,8.734,96,11.032,0,0,0,14,0,0,0,0,0,4,3,0,0,0,0,0,0,0,4,10,41,0,0,0
minutes_20170614,minutes,2017-06-14,Yellen,8969,295,95,10.592,86,9.589,2,0,0,12,0,0,0,0,0,3,8,0,0,0,0,0,0,0,2,17,51,0,0,0
minutes_20170726,minutes,2017-07-26,Yellen,7616,262,70,9.191,89,11.686,0,0,0,13,0,0,0,0,0,3,9,0,0,0,0,0,0,0,2,8,35,0,0,0
minutes_20170920,minutes,2017-09-20,Yellen,8857,289,85,9.597,101,11.403,0,0,0,10,0,0,0,0,0,3,13,0,0,0,0,0,0,0,2,15,42,0,0,0
minutes_20171101,minutes,2017-11-01,Yellen,7693,261,63,8.189,89,11.569,0,0,0,12,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3,9,31,0,0,0
minutes_20171213,minutes,2017-12-13,Yellen,7587,249,68,8.963,75,9.885,0,0,0,13,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,10,33,0,0,0
minutes_20180131,minutes,2018-01-31,Yellen,12414,410,123,9.908,100,8.055,0,0,0,12,0,0,0,0,0,23,11,10,0,0,0,0,0,16,1,10,40,0,0,0
minutes_20180321,minutes,2018-03-21,Powell,7479,247,62,8.29,83,11.098,0,0,0,8,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,9,38,0,0,0
minutes_20180502,minutes,2018-05-02,Powell,8157,276,77,9.44,75,9.195,1,0,0,20,0,0,0,0,0,4,5,0,0,0,0,0,0,0,3,8,36,0,0,0
minutes_20180613,minutes,2018-06-13,Powell,7340,230,53,7.221,61,8.311,1,0,0,13,0,0,0,0,0,4,7,0,0,0,0,0,0,0,2,4,22,0,0,0
minutes_20180801,minutes,2018-08-01,Powell,8462,294,82,9.69,68,8.036,1,0,0,25,0,0,0,0,0,6,10,0,0,0,0,0,0,0,2,5,33,0,0,0
minutes_20180926,minutes,2018-09-26,Powell,7315,243,64,8.749,60,8.202,0,0,0,15,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,6,33,0,0,0
