key,unit,period,macro,k,n,r,p_r,rho,p_rho
minutes,could,T2,cfnai,3,91,-0.3211,0.0019,-0.2672,0.0104
minutes,could,T2,cfnai,4,90,-0.2942,0.0049,-0.3233,0.0019
minutes,could,T2,cfnai,5,89,-0.3137,0.0028,-0.3095,0.0032
minutes,could,T2,cfnai,6,89,-0.1467,0.1701,-0.2477,0.0192
minutes,could,T2,cfnai,7,88,0.0552,0.6098,-0.1573,0.1434
minutes,could,T2,cfnai,8,87,0.0678,0.5328,-0.1586,0.1423
minutes,could,T2,cfnai,9,87,0.0622,0.567,-0.0925,0.394
minutes,could,T2,vix,-9,91,0.3593,0.0005,0.4187,0.0
minutes,could,T2,vix,-8,91,0.3584,0.0005,0.354,0.0006
minutes,could,T2,vix,-7,91,0.3616,0.0004,0.3706,0.0003
minutes,could,T2,vix,-6,91,0.2806,0.0071,0.3105,0.0027
minutes,could,T2,vix,-5,91,0.3586,0.0005,0.4076,0.0001
minutes,could,T2,vix,-4,91,0.4936,0.0,0.5213,0.0
minutes,could,T2,vix,-3,91,0.411,0.0001,0.445,0.0
minutes,could,T2,vix,-2,91,0.4107,0.0001,0.4471,0.0
minutes,could,T2,vix,-1,91,0.3065,0.0031,0.3079,0.003
minutes,could,T2,vix,0,91,0.2813,0.0069,0.3086,0.0029
minutes,could,T2,vix,1,91,0.262,0.0121,0.3012,0.0037
minutes,could,T2,vix,2,91,0.2518,0.016,0.265,0.0111
minutes,could,T2,vix,3,91,0.2995,0.0039,0.214,0.0417
minutes,could,T2,vix,4,90,0.3064,0.0033,0.2993,0.0042
minutes,could,T2,vix,5,89,0.2399,0.0236,0.3022,0.004
minutes,could,T2,vix,6,89,0.2056,0.0533,0.2462,0.02
minutes,could,T2,vix,7,88,0.1898,0.0765,0.1918,0.0735
minutes,could,T2,vix,8,87,0.0487,0.654,0.0826,0.4467
minutes,could,T2,vix,9,87,-0.0718,0.5088,-0.0253,0.8161
minutes,could+impede,T1,cfnai,-9,99,-0.0478,0.6386,-0.1006,0.3219
minutes,could+impede,T1,cfnai,-8,99,-0.0544,0.5929,-0.1056,0.2981
minutes,could+impede,T1,cfnai,-7,99,-0.0989,0.3302,-0.1688,0.0948
minutes,could+impede,T1,cfnai,-6,99,-0.049,0.6301,-0.1301,0.1994
minutes,could+impede,T1,cfnai,-5,99,0.0105,0.9179,-0.1596,0.1147
minutes,could+impede,T1,cfnai,-4,99,0.068,0.5035,-0.12,0.2368
minutes,could+impede,T1,cfnai,-3,99,0.1035,0.3078,-0.1241,0.2211
minutes,could+impede,T1,cfnai,-2,99,0.1034,0.3085,-0.1051,0.3003
minutes,could+impede,T1,cfnai,-1,99,0.0924,0.3629,-0.1027,0.3115
minutes,could+impede,T1,cfnai,0,99,0.0402,0.6928,-0.1211,0.2326
minutes,could+impede,T1,cfnai,1,99,0.0243,0.8116,-0.1251,0.2173
minutes,could+impede,T1,cfnai,2,99,0.0311,0.76,-0.1303,0.1987
minutes,could+impede,T1,cfnai,3,99,0.01,0.9217,-0.1447,0.153
minutes,could+impede,T1,cfnai,4,98,0.0098,0.9234,-0.1798,0.0764
minutes,could+impede,T1,cfnai,5,97,0.0027,0.9793,-0.1824,0.0738
